run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp
early_seed47,minority-early,early,0,333,1.0,47,1,2.1384448700700887e-05,10.752846717834473,79.96728301048279,/kaggle/working/minority-guidance/results/early_seed47/samples_1x256x256x3.npz,2026-03-14T23:37:25.074550+00:00
mid_seed47,minority-mid,mid,333,667,1.0,47,1,0.00013563100947067142,8.905572891235352,80.12971949577332,/kaggle/working/minority-guidance/results/mid_seed47/samples_1x256x256x3.npz,2026-03-14T23:38:49.782519+00:00
late_seed47,minority-late,late,667,1000,1.0,47,1,7.589769666083157e-07,14.091294288635254,80.02068543434143,/kaggle/working/minority-guidance/results/late_seed47/samples_1x256x256x3.npz,2026-03-14T23:40:14.349005+00:00
baseline_seed48,baseline,none,0,0,0.0,48,1,1.0953747732855845e-05,11.421829223632812,73.56868982315063,/kaggle/working/minority-guidance/results/baseline_seed48/samples_1x256x256x3.npz,2026-03-14T23:41:32.471957+00:00
full_seed48,minority-full,full,0,1000,1.0,48,1,0.0007629204192198813,7.178357124328613,91.2746410369873,/kaggle/working/minority-guidance/results/full_seed48/samples_1x256x256x3.npz,2026-03-14T23:43:08.248351+00:00
early_seed48,minority-early,early,0,333,1.0,48,1,3.0579991289414465e-05,10.395164489746094,79.87128734588623,/kaggle/working/minority-guidance/results/early_seed48/samples_1x256x256x3.npz,2026-03-14T23:44:32.610448+00:00
mid_seed48,minority-mid,mid,333,667,1.0,48,1,0.00011282107880106196,9.089707374572754,80.05796599388123,/kaggle/working/minority-guidance/results/mid_seed48/samples_1x256x256x3.npz,2026-03-14T23:45:57.192178+00:00
late_seed48,minority-late,late,667,1000,1.0,48,1,1.7245369008378475e-06,13.270551681518555,79.87682819366455,/kaggle/working/minority-guidance/results/late_seed48/samples_1x256x256x3.npz,2026-03-14T23:47:21.601292+00:00
baseline_seed49,baseline,none,0,0,0.0,49,1,0.00015282293315976858,8.786230087280273,73.58844828605652,/kaggle/working/minority-guidance/results/baseline_seed49/samples_1x256x256x3.npz,2026-03-14T23:48:39.758601+00:00
full_seed49,minority-full,full,0,1000,1.0,49,1,0.02129916101694107,3.8490874767303467,91.34286618232727,/kaggle/working/minority-guidance/results/full_seed49/samples_1x256x256x3.npz,2026-03-14T23:50:15.666744+00:00
early_seed49,minority-early,early,0,333,1.0,49,1,0.0002879725070670247,8.152645111083984,79.8702437877655,/kaggle/working/minority-guidance/results/early_seed49/samples_1x256x256x3.npz,2026-03-14T23:51:40.090073+00:00
mid_seed49,minority-mid,mid,333,667,1.0,49,1,0.0016893966821953654,6.383383750915527,79.9254686832428,/kaggle/working/minority-guidance/results/mid_seed49/samples_1x256x256x3.npz,2026-03-14T23:53:04.533534+00:00
late_seed49,minority-late,late,667,1000,1.0,49,1,0.0005844706320203841,7.4448041915893555,79.84326505661011,/kaggle/working/minority-guidance/results/late_seed49/samples_1x256x256x3.npz,2026-03-14T23:54:28.954639+00:00
baseline_seed50,baseline,none,0,0,0.0,50,1,7.21076366971829e-06,11.839935302734375,73.60721635818481,/kaggle/working/minority-guidance/results/baseline_seed50/samples_1x256x256x3.npz,2026-03-14T23:55:47.088230+00:00
full_seed50,minority-full,full,0,1000,1.0,50,1,0.22781163454055786,1.479236125946045,91.25290894508362,/kaggle/working/minority-guidance/results/full_seed50/samples_1x256x256x3.npz,2026-03-14T23:57:22.879856+00:00
early_seed50,minority-early,early,0,333,1.0,50,1,6.627502443734556e-05,9.621697425842285,80.00023293495178,/kaggle/working/minority-guidance/results/early_seed50/samples_1x256x256x3.npz,2026-03-14T23:58:47.426962+00:00
mid_seed50,minority-mid,mid,333,667,1.0,50,1,6.404323357855901e-05,9.655952453613281,79.99061799049377,/kaggle/working/minority-guidance/results/mid_seed50/samples_1x256x256x3.npz,2026-03-15T00:00:11.967839+00:00
late_seed50,minority-late,late,667,1000,1.0,50,1,0.0313083715736866,3.463869571685791,80.01127004623413,/kaggle/working/minority-guidance/results/late_seed50/samples_1x256x256x3.npz,2026-03-15T00:01:36.559368+00:00
