run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp,notebook_slug,kernel_version
baseline_seed1,baseline,none,0,0,0.0,1,1,8.089966030411233e-08,16.330055236816406,75.1065731048584,/kaggle/working/minority-guidance/results/baseline_seed1/samples_1x256x256x3.npz,2026-05-18T20:38:22.415695+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed1,minority-full,full,0,1000,3.5,1,1,0.6856664419174194,0.37736397981643677,94.95187306404114,/kaggle/working/minority-guidance/results/full_seed1/samples_1x256x256x3.npz,2026-05-18T20:40:02.054997+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed1,minority-early,early,0,333,3.5,1,1,0.013700922951102257,4.290292263031006,80.88129091262817,/kaggle/working/minority-guidance/results/early_seed1/samples_1x256x256x3.npz,2026-05-18T20:41:27.463159+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed1,minority-mid,mid,333,667,3.5,1,1,0.2265651673078537,1.48472261428833,80.94742393493652,/kaggle/working/minority-guidance/results/mid_seed1/samples_1x256x256x3.npz,2026-05-18T20:42:52.996259+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed1,minority-late,late,667,1000,3.5,1,1,0.08363628387451172,2.4812779426574707,80.91831254959106,/kaggle/working/minority-guidance/results/late_seed1/samples_1x256x256x3.npz,2026-05-18T20:44:18.542287+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed2,baseline,none,0,0,0.0,2,1,2.50300709012663e-05,10.59543228149414,74.40607357025146,/kaggle/working/minority-guidance/results/baseline_seed2/samples_1x256x256x3.npz,2026-05-18T20:45:37.525928+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed2,minority-full,full,0,1000,3.5,2,1,0.6228098273277283,0.4735140800476074,92.45503044128418,/kaggle/working/minority-guidance/results/full_seed2/samples_1x256x256x3.npz,2026-05-18T20:47:14.522409+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed2,minority-early,early,0,333,3.5,2,1,0.024271735921502113,3.718442678451538,80.75836515426636,/kaggle/working/minority-guidance/results/early_seed2/samples_1x256x256x3.npz,2026-05-18T20:48:39.894204+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed2,minority-mid,mid,333,667,3.5,2,1,0.01494225487112999,4.203562259674072,80.85168051719666,/kaggle/working/minority-guidance/results/mid_seed2/samples_1x256x256x3.npz,2026-05-18T20:50:05.273761+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed2,minority-late,late,667,1000,3.5,2,1,0.0097315963357687,4.632377624511719,80.7810869216919,/kaggle/working/minority-guidance/results/late_seed2/samples_1x256x256x3.npz,2026-05-18T20:51:30.777270+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed3,baseline,none,0,0,0.0,3,1,2.4817532562337874e-07,15.20913028717041,74.55525541305542,/kaggle/working/minority-guidance/results/baseline_seed3/samples_1x256x256x3.npz,2026-05-18T20:52:50.069105+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed3,minority-full,full,0,1000,3.5,3,1,0.8394007086753845,0.17506709694862366,92.91472816467285,/kaggle/working/minority-guidance/results/full_seed3/samples_1x256x256x3.npz,2026-05-18T20:54:27.672620+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed3,minority-early,early,0,333,3.5,3,1,0.0030250244308263063,5.800836086273193,81.15398049354553,/kaggle/working/minority-guidance/results/early_seed3/samples_1x256x256x3.npz,2026-05-18T20:55:53.516684+00:00,vittorialanzo/windowed-minority-guidance-extended,17
