run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp
baseline_seed1,baseline,none,0,0,0.0,1,1,8.089966030411233e-08,16.330055236816406,74.85112237930298,/kaggle/working/minority-guidance/results/baseline_seed1/samples_1x256x256x3.npz,2026-05-18T14:18:36.228492+00:00
full_seed1,minority-full,full,0,1000,2.0,1,1,0.4430604875087738,0.8140489459037781,94.00020503997803,/kaggle/working/minority-guidance/results/full_seed1/samples_1x256x256x3.npz,2026-05-18T14:20:14.833933+00:00
early_seed1,minority-early,early,0,333,2.0,1,1,2.4425828087260015e-05,10.619869232177734,80.50366401672363,/kaggle/working/minority-guidance/results/early_seed1/samples_1x256x256x3.npz,2026-05-18T14:21:39.947884+00:00
mid_seed1,minority-mid,mid,333,667,2.0,1,1,0.022137416526675224,3.810486078262329,80.64601349830627,/kaggle/working/minority-guidance/results/mid_seed1/samples_1x256x256x3.npz,2026-05-18T14:23:05.304365+00:00
late_seed1,minority-late,late,667,1000,2.0,1,1,0.0011678668670356274,6.7525763511657715,80.66388535499573,/kaggle/working/minority-guidance/results/late_seed1/samples_1x256x256x3.npz,2026-05-18T14:24:30.667490+00:00
baseline_seed2,baseline,none,0,0,0.0,2,1,2.50300709012663e-05,10.59543228149414,74.29604911804199,/kaggle/working/minority-guidance/results/baseline_seed2/samples_1x256x256x3.npz,2026-05-18T14:25:49.572288+00:00
full_seed2,minority-full,full,0,1000,2.0,2,1,0.059322793036699295,2.8247616291046143,92.19179844856262,/kaggle/working/minority-guidance/results/full_seed2/samples_1x256x256x3.npz,2026-05-18T14:27:26.390825+00:00
early_seed2,minority-early,early,0,333,2.0,2,1,0.0016439894679933786,6.4106292724609375,80.55736565589905,/kaggle/working/minority-guidance/results/early_seed2/samples_1x256x256x3.npz,2026-05-18T14:28:51.650975+00:00
mid_seed2,minority-mid,mid,333,667,2.0,2,1,0.002606472698971629,5.9497575759887695,80.83091998100281,/kaggle/working/minority-guidance/results/mid_seed2/samples_1x256x256x3.npz,2026-05-18T14:30:17.110657+00:00
late_seed2,minority-late,late,667,1000,2.0,2,1,0.0027830845210701227,5.884195327758789,80.71162843704224,/kaggle/working/minority-guidance/results/late_seed2/samples_1x256x256x3.npz,2026-05-18T14:31:42.633887+00:00
baseline_seed3,baseline,none,0,0,0.0,3,1,2.4817532562337874e-07,15.20913028717041,74.21736145019531,/kaggle/working/minority-guidance/results/baseline_seed3/samples_1x256x256x3.npz,2026-05-18T14:33:01.574134+00:00
full_seed3,minority-full,full,0,1000,2.0,3,1,0.06507772207260132,2.732172966003418,92.22111296653748,/kaggle/working/minority-guidance/results/full_seed3/samples_1x256x256x3.npz,2026-05-18T14:34:38.439055+00:00
