run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp
baseline_seed1,baseline,none,0,0,0.0,1,1,8.089966030411233e-08,16.330055236816406,75.57627487182617,/kaggle/working/minority-guidance/results/baseline_seed1/samples_1x256x256x3.npz,2026-05-18T07:35:17.561297+00:00
full_seed1,minority-full,full,0,1000,0.5,1,1,4.276050276530441e-06,12.362480163574219,97.09176421165466,/kaggle/working/minority-guidance/results/full_seed1/samples_1x256x256x3.npz,2026-05-18T07:36:59.927333+00:00
early_seed1,minority-early,early,0,333,0.5,1,1,1.0381197768083439e-07,16.080684661865234,83.46362471580505,/kaggle/working/minority-guidance/results/early_seed1/samples_1x256x256x3.npz,2026-05-18T07:38:28.556681+00:00
mid_seed1,minority-mid,mid,333,667,0.5,1,1,1.1833500224156523e-07,15.949746131896973,82.7871401309967,/kaggle/working/minority-guidance/results/mid_seed1/samples_1x256x256x3.npz,2026-05-18T07:39:56.597844+00:00
late_seed1,minority-late,late,667,1000,0.5,1,1,2.0783714660410624e-07,15.386510848999023,82.86967420578003,/kaggle/working/minority-guidance/results/late_seed1/samples_1x256x256x3.npz,2026-05-18T07:41:24.661414+00:00
baseline_seed2,baseline,none,0,0,0.0,2,1,2.50300709012663e-05,10.59543228149414,76.21925258636475,/kaggle/working/minority-guidance/results/baseline_seed2/samples_1x256x256x3.npz,2026-05-18T07:42:46.214285+00:00
full_seed2,minority-full,full,0,1000,0.5,2,1,0.0020174095407128334,6.205941200256348,94.80337333679199,/kaggle/working/minority-guidance/results/full_seed2/samples_1x256x256x3.npz,2026-05-18T07:44:26.211265+00:00
early_seed2,minority-early,early,0,333,0.5,2,1,6.964778731344268e-05,9.572059631347656,82.82712459564209,/kaggle/working/minority-guidance/results/early_seed2/samples_1x256x256x3.npz,2026-05-18T07:45:54.173991+00:00
mid_seed2,minority-mid,mid,333,667,0.5,2,1,0.000354552932549268,7.944652557373047,82.59611296653748,/kaggle/working/minority-guidance/results/mid_seed2/samples_1x256x256x3.npz,2026-05-18T07:47:21.859768+00:00
late_seed2,minority-late,late,667,1000,0.5,2,1,0.0002529157791286707,8.282453536987305,82.73066520690918,/kaggle/working/minority-guidance/results/late_seed2/samples_1x256x256x3.npz,2026-05-18T07:48:49.585685+00:00
baseline_seed3,baseline,none,0,0,0.0,3,1,2.4817532562337874e-07,15.20913028717041,75.70011639595032,/kaggle/working/minority-guidance/results/baseline_seed3/samples_1x256x256x3.npz,2026-05-18T07:50:10.457550+00:00
full_seed3,minority-full,full,0,1000,0.5,3,1,7.704656127316412e-06,11.773685455322266,94.716313123703,/kaggle/working/minority-guidance/results/full_seed3/samples_1x256x256x3.npz,2026-05-18T07:51:50.163487+00:00
early_seed3,minority-early,early,0,333,0.5,3,1,3.8459799611700873e-07,14.771066665649414,82.66124391555786,/kaggle/working/minority-guidance/results/early_seed3/samples_1x256x256x3.npz,2026-05-18T07:53:17.799666+00:00
mid_seed3,minority-mid,mid,333,667,0.5,3,1,6.362227509271179e-07,14.267717361450195,82.64886713027954,/kaggle/working/minority-guidance/results/mid_seed3/samples_1x256x256x3.npz,2026-05-18T07:54:45.623662+00:00
late_seed3,minority-late,late,667,1000,0.5,3,1,1.2189697145004175e-06,13.617504119873047,82.6189341545105,/kaggle/working/minority-guidance/results/late_seed3/samples_1x256x256x3.npz,2026-05-18T07:56:13.170364+00:00
baseline_seed4,baseline,none,0,0,0.0,4,1,1.2268584725916298e-07,15.913639068603516,75.62166047096252,/kaggle/working/minority-guidance/results/baseline_seed4/samples_1x256x256x3.npz,2026-05-18T07:57:33.799308+00:00
full_seed4,minority-full,full,0,1000,0.5,4,1,2.6723714086074324e-07,15.135129928588867,94.5403413772583,/kaggle/working/minority-guidance/results/full_seed4/samples_1x256x256x3.npz,2026-05-18T07:59:13.385432+00:00
early_seed4,minority-early,early,0,333,0.5,4,1,1.3584205760253099e-07,15.811773300170898,82.37057209014893,/kaggle/working/minority-guidance/results/early_seed4/samples_1x256x256x3.npz,2026-05-18T08:00:40.792793+00:00
mid_seed4,minority-mid,mid,333,667,0.5,4,1,1.0635643832301866e-07,16.056468963623047,82.48351454734802,/kaggle/working/minority-guidance/results/mid_seed4/samples_1x256x256x3.npz,2026-05-18T08:02:08.301180+00:00
late_seed4,minority-late,late,667,1000,0.5,4,1,1.3215020544521394e-07,15.839326858520508,82.27130365371704,/kaggle/working/minority-guidance/results/late_seed4/samples_1x256x256x3.npz,2026-05-18T08:03:35.582294+00:00
baseline_seed5,baseline,none,0,0,0.0,5,1,0.0003527096414472908,7.949865341186523,75.78588843345642,/kaggle/working/minority-guidance/results/baseline_seed5/samples_1x256x256x3.npz,2026-05-18T08:04:56.408929+00:00
full_seed5,minority-full,full,0,1000,0.5,5,1,2.0651739305321826e-06,13.090295791625977,94.28451585769653,/kaggle/working/minority-guidance/results/full_seed5/samples_1x256x256x3.npz,2026-05-18T08:06:35.641921+00:00
early_seed5,minority-early,early,0,333,0.5,5,1,0.0005778976483270526,7.456113815307617,82.1365327835083,/kaggle/working/minority-guidance/results/early_seed5/samples_1x256x256x3.npz,2026-05-18T08:08:02.639946+00:00
mid_seed5,minority-mid,mid,333,667,0.5,5,1,0.0006299724336713552,7.3698344230651855,81.9827253818512,/kaggle/working/minority-guidance/results/mid_seed5/samples_1x256x256x3.npz,2026-05-18T08:09:29.415770+00:00
late_seed5,minority-late,late,667,1000,0.5,5,1,2.258608446936705e-06,13.000761985778809,81.66645169258118,/kaggle/working/minority-guidance/results/late_seed5/samples_1x256x256x3.npz,2026-05-18T08:10:56.049357+00:00
baseline_seed6,baseline,none,0,0,0.0,6,1,2.2029957108316012e-05,10.72310733795166,75.16849303245544,/kaggle/working/minority-guidance/results/baseline_seed6/samples_1x256x256x3.npz,2026-05-18T08:12:16.158671+00:00
full_seed6,minority-full,full,0,1000,0.5,6,1,0.0017811687430366874,6.3304853439331055,93.61640453338623,/kaggle/working/minority-guidance/results/full_seed6/samples_1x256x256x3.npz,2026-05-18T08:13:54.740873+00:00
early_seed6,minority-early,early,0,333,0.5,6,1,2.8206079150550067e-05,10.475973129272461,81.81862831115723,/kaggle/working/minority-guidance/results/early_seed6/samples_1x256x256x3.npz,2026-05-18T08:15:21.406056+00:00
mid_seed6,minority-mid,mid,333,667,0.5,6,1,2.3197304471977986e-05,10.67147445678711,82.16762566566467,/kaggle/working/minority-guidance/results/mid_seed6/samples_1x256x256x3.npz,2026-05-18T08:16:48.577826+00:00
