run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp
baseline_seed82,baseline,none,0,0,0.0,82,1,0.13801567256450653,1.9803880453109741,74.85876965522766,/kaggle/working/minority-guidance/results/baseline_seed82/samples_1x256x256x3.npz,2026-05-24T12:19:54.847547+00:00
full_seed82,minority-full,full,0,1000,3.5,82,1,0.9534400701522827,0.04767869785428047,92.96169424057007,/kaggle/working/minority-guidance/results/full_seed82/samples_1x256x256x3.npz,2026-05-24T12:21:32.555980+00:00
early_seed82,minority-early,early,0,333,3.5,82,1,0.4965488016605377,0.7000735402107239,81.32099294662476,/kaggle/working/minority-guidance/results/early_seed82/samples_1x256x256x3.npz,2026-05-24T12:22:58.606549+00:00
mid_seed82,minority-mid,mid,333,667,3.5,82,1,0.5269904136657715,0.6405729055404663,81.41297125816345,/kaggle/working/minority-guidance/results/mid_seed82/samples_1x256x256x3.npz,2026-05-24T12:24:24.768527+00:00
late_seed82,minority-late,late,667,1000,3.5,82,1,0.07189338654279709,2.63257098197937,81.20084071159363,/kaggle/working/minority-guidance/results/late_seed82/samples_1x256x256x3.npz,2026-05-24T12:25:50.717659+00:00
baseline_seed83,baseline,none,0,0,0.0,83,1,1.3067578947811853e-06,13.547961235046387,74.7863392829895,/kaggle/working/minority-guidance/results/baseline_seed83/samples_1x256x256x3.npz,2026-05-24T12:27:10.294034+00:00
full_seed83,minority-full,full,0,1000,3.5,83,1,0.8178806304931641,0.2010389119386673,93.17755246162415,/kaggle/working/minority-guidance/results/full_seed83/samples_1x256x256x3.npz,2026-05-24T12:28:48.282770+00:00
early_seed83,minority-early,early,0,333,3.5,83,1,6.985183972574305e-06,11.871719360351562,81.4114294052124,/kaggle/working/minority-guidance/results/early_seed83/samples_1x256x256x3.npz,2026-05-24T12:30:14.570890+00:00
mid_seed83,minority-mid,mid,333,667,3.5,83,1,0.4790543019771576,0.7359412908554077,81.67401456832886,/kaggle/working/minority-guidance/results/mid_seed83/samples_1x256x256x3.npz,2026-05-24T12:31:40.978598+00:00
late_seed83,minority-late,late,667,1000,3.5,83,1,2.1506724806386046e-05,10.74714469909668,81.15263295173645,/kaggle/working/minority-guidance/results/late_seed83/samples_1x256x256x3.npz,2026-05-24T12:33:06.845002+00:00
baseline_seed84,baseline,none,0,0,0.0,84,1,1.9794788030935706e-08,17.73784637451172,74.77650237083435,/kaggle/working/minority-guidance/results/baseline_seed84/samples_1x256x256x3.npz,2026-05-24T12:34:26.360308+00:00
